date,ESP_real_estate_f1,ESP_real_estate_f2
1999-08-23,,
1999-08-24,,
1999-08-25,,
1999-08-26,,
1999-08-27,,
1999-08-30,,
1999-08-31,,
1999-09-01,,
1999-09-02,,
1999-09-03,,
1999-09-06,,
1999-09-07,,
1999-09-08,,
1999-09-09,,
1999-09-10,,
1999-09-13,,
1999-09-14,,
1999-09-15,,
1999-09-16,,
1999-09-17,,
1999-09-20,,
1999-09-21,,
1999-09-22,,
1999-09-23,,
1999-09-24,,
1999-09-27,,
1999-09-28,,
1999-09-29,,
1999-09-30,,
1999-10-01,,
1999-10-04,,
1999-10-05,,
1999-10-06,,
1999-10-07,,
1999-10-08,,
1999-10-11,,
1999-10-12,,
1999-10-13,,
1999-10-14,,
1999-10-15,,
1999-10-18,,
1999-10-19,,
1999-10-20,,
1999-10-21,,
1999-10-22,,
1999-10-25,,
1999-10-26,,
1999-10-27,,
1999-10-28,,
1999-10-29,,
1999-11-01,,
1999-11-02,,
1999-11-03,,
1999-11-04,,
1999-11-05,,
1999-11-08,,
1999-11-09,,
1999-11-10,,
1999-11-11,,
1999-11-12,,
1999-11-15,,
1999-11-16,,
1999-11-17,,
1999-11-18,,
1999-11-19,,
1999-11-22,,
1999-11-23,,
1999-11-24,,
1999-11-25,,
1999-11-26,,
1999-11-29,,
1999-11-30,,
1999-12-01,,
1999-12-02,,
1999-12-03,,
1999-12-06,,
1999-12-07,,
1999-12-08,,
1999-12-09,,
1999-12-10,,
1999-12-13,,
1999-12-14,,
1999-12-15,,
1999-12-16,,
1999-12-17,,
1999-12-20,,
1999-12-21,,
1999-12-22,,
1999-12-23,,
1999-12-24,,
1999-12-27,,
1999-12-28,,
1999-12-29,,
1999-12-30,,
1999-12-31,,
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-01-13,,
2000-01-14,,
2000-01-17,,
2000-01-18,,
2000-01-19,,
2000-01-20,,
2000-01-21,,
2000-01-24,,
2000-01-25,,
2000-01-26,,
2000-01-27,,
2000-01-28,,
2000-01-31,0.9929645409373852,-0.9395183322348296
2000-02-01,0.9998919292778229,-0.9862083820060176
2000-02-02,0.9998919292778229,-0.9862151174120881
2000-02-03,0.9998919292778229,-0.9862151183152807
2000-02-04,0.9998919292778229,-0.9862151183154019
2000-02-07,0.9998919292778229,-0.9862151183154019
2000-02-08,0.9998919292778229,-0.9862151183154019
2000-02-09,0.9998919292778229,-0.9862151183154019
2000-02-10,0.9998919292778229,-0.9862151183154019
2000-02-11,0.9998919292778229,-0.9862151183154019
2000-02-14,0.9998919292778229,-0.9862151183154019
2000-02-15,0.9998919292778229,-0.9862151183154019
2000-02-16,0.9998919292778229,-0.9862151183154019
2000-02-17,0.9998919292778229,-0.9862151183154019
2000-02-18,0.9998919292778229,-0.9862151183154019
2000-02-21,0.9998919292778229,-0.9862151183154019
2000-02-22,0.9998919292778229,-0.9862151183154019
2000-02-23,0.9998919292778229,-0.9862151183154019
2000-02-24,0.9998919292778229,-0.9862151183154019
2000-02-25,0.9998919292778229,-0.9862151183154019
2000-02-28,0.9998919292778229,-0.9862151183154019
2000-02-29,1.0232252057436975,-1.145580311284115
2000-03-01,0.9999033358195556,-0.9897436660524893
2000-03-02,0.9999033358195556,-0.9897268402373763
2000-03-03,0.9999033358195556,-0.9897268379811783
2000-03-06,0.9999033358195556,-0.9897268379808759
2000-03-07,0.9999033358195556,-0.9897268379808758
2000-03-08,0.9999033358195556,-0.9897268379808758
2000-03-09,0.9999033358195556,-0.9897268379808758
2000-03-10,0.9999033358195556,-0.9897268379808758
2000-03-13,0.9999033358195556,-0.9897268379808758
2000-03-14,0.9999033358195556,-0.9897268379808758
2000-03-15,0.9999033358195556,-0.9897268379808758
2000-03-16,0.9999033358195556,-0.9897268379808758
2000-03-17,0.9999033358195556,-0.9897268379808758
2000-03-20,0.9999033358195556,-0.9897268379808758
2000-03-21,0.9999033358195556,-0.9897268379808758
2000-03-22,0.9999033358195556,-0.9897268379808758
2000-03-23,0.9999033358195556,-0.9897268379808758
2000-03-24,0.9999033358195556,-0.9897268379808758
2000-03-27,0.9999033358195556,-0.9897268379808758
2000-03-28,0.9999033358195556,-0.9897268379808758
2000-03-29,0.9999033358195556,-0.9897268379808758
2000-03-30,0.9999033358195556,-0.9897268379808758
2000-03-31,1.0098780155136455,-1.049963843529812
2000-04-03,0.9999080846189567,-0.9908625036106848
2000-04-04,0.9999080846189567,-0.9908552350992544
2000-04-05,0.9999080846189567,-0.990855234124595
2000-04-06,0.9999080846189567,-0.9908552341244643
2000-04-07,0.9999080846189567,-0.9908552341244643
2000-04-10,0.9999080846189567,-0.9908552341244643
2000-04-11,0.9999080846189567,-0.9908552341244643
2000-04-12,0.9999080846189567,-0.9908552341244643
2000-04-13,0.9999080846189567,-0.9908552341244643
2000-04-14,0.9999080846189567,-0.9908552341244643
2000-04-17,0.9999080846189567,-0.9908552341244643
2000-04-18,0.9999080846189567,-0.9908552341244643
2000-04-19,0.9999080846189567,-0.9908552341244643
2000-04-20,0.9999080846189567,-0.9908552341244643
2000-04-21,0.9999080846189567,-0.9908552341244643
2000-04-24,0.9999080846189567,-0.9908552341244643
2000-04-25,0.9999080846189567,-0.9908552341244643
2000-04-26,0.9999080846189567,-0.9908552341244643
2000-04-27,0.9999080846189567,-0.9908552341244643
2000-04-28,0.9999080846189567,-0.9908552341244643
2000-05-01,1.0154283769835495,-1.080183304856595
2000-05-02,0.9999152693204901,-0.9922975743181914
2000-05-03,0.9999152693204901,-0.9922871887261094
2000-05-04,0.9999152693204901,-0.9922871873334768
2000-05-05,0.9999152693204901,-0.9922871873332899
2000-05-08,0.9999152693204901,-0.9922871873332899
2000-05-09,0.9999152693204901,-0.9922871873332899
2000-05-10,0.9999152693204901,-0.9922871873332899
2000-05-11,0.9999152693204901,-0.9922871873332899
2000-05-12,0.9999152693204901,-0.9922871873332899
2000-05-15,0.9999152693204901,-0.9922871873332899
2000-05-16,0.9999152693204901,-0.9922871873332899
2000-05-17,0.9999152693204901,-0.9922871873332899
2000-05-18,0.9999152693204901,-0.9922871873332899
2000-05-19,0.9999152693204901,-0.9922871873332899
2000-05-22,0.9999152693204901,-0.9922871873332899
2000-05-23,0.9999152693204901,-0.9922871873332899
2000-05-24,0.9999152693204901,-0.9922871873332899
2000-05-25,0.9999152693204901,-0.9922871873332899
2000-05-26,0.9999152693204901,-0.9922871873332899
2000-05-29,0.9999152693204901,-0.9922871873332899
2000-05-30,0.9999152693204901,-0.9922871873332899
2000-05-31,1.017975518046875,-1.089269940156648
2000-06-01,0.9999233460974732,-0.9935966844369782
2000-06-02,0.9999233460974732,-0.9935854960895166
2000-06-05,0.9999233460974732,-0.9935854945892422
2000-06-06,0.9999233460974732,-0.9935854945890409
2000-06-07,0.9999233460974732,-0.9935854945890409
2000-06-08,0.9999233460974732,-0.9935854945890409
2000-06-09,0.9999233460974732,-0.9935854945890409
2000-06-12,0.9999233460974732,-0.9935854945890409
2000-06-13,0.9999233460974732,-0.9935854945890409
2000-06-14,0.9999233460974732,-0.9935854945890409
2000-06-15,0.9999233460974732,-0.9935854945890409
2000-06-16,0.9999233460974732,-0.9935854945890409
2000-06-19,0.9999233460974732,-0.9935854945890409
2000-06-20,0.9999233460974732,-0.9935854945890409
2000-06-21,0.9999233460974732,-0.9935854945890409
2000-06-22,0.9999233460974732,-0.9935854945890409
2000-06-23,0.9999233460974732,-0.9935854945890409
2000-06-26,0.9999233460974732,-0.9935854945890409
2000-06-27,0.9999233460974732,-0.9935854945890409
2000-06-28,0.9999233460974732,-0.9935854945890409
2000-06-29,0.9999233460974732,-0.9935854945890409
2000-06-30,1.0203948058967012,-1.095654388421994
2000-07-03,0.9999321481955622,-0.9947262215277475
2000-07-04,0.9999321481955622,-0.9947145004202317
2000-07-05,0.9999321481955622,-0.9947144988485191
2000-07-06,0.9999321481955622,-0.9947144988483083
2000-07-07,0.9999321481955622,-0.9947144988483083
2000-07-10,0.9999321481955622,-0.9947144988483083
2000-07-11,0.9999321481955622,-0.9947144988483083
2000-07-12,0.9999321481955622,-0.9947144988483083
2000-07-13,0.9999321481955622,-0.9947144988483083
2000-07-14,0.9999321481955622,-0.9947144988483083
2000-07-17,0.9999321481955622,-0.9947144988483083
2000-07-18,0.9999321481955622,-0.9947144988483083
2000-07-19,0.9999321481955622,-0.9947144988483083
2000-07-20,0.9999321481955622,-0.9947144988483083
2000-07-21,0.9999321481955622,-0.9947144988483083
2000-07-24,0.9999321481955622,-0.9947144988483083
2000-07-25,0.9999321481955622,-0.9947144988483083
2000-07-26,0.9999321481955622,-0.9947144988483083
2000-07-27,0.9999321481955622,-0.9947144988483083
2000-07-28,0.9999321481955622,-0.9947144988483083
2000-07-31,1.0266812535012437,-1.1182696382218051
2000-08-01,0.999943092113114,-0.9958231466139219
2000-08-02,0.999943092113114,-0.9958093258302604
2000-08-03,0.999943092113114,-0.9958093239770028
2000-08-04,0.999943092113114,-0.9958093239767543
2000-08-07,0.999943092113114,-0.9958093239767543
2000-08-08,0.999943092113114,-0.9958093239767543
2000-08-09,0.999943092113114,-0.9958093239767543
2000-08-10,0.999943092113114,-0.9958093239767543
2000-08-11,0.999943092113114,-0.9958093239767543
2000-08-14,0.999943092113114,-0.9958093239767543
2000-08-15,0.999943092113114,-0.9958093239767543
2000-08-16,0.999943092113114,-0.9958093239767543
2000-08-17,0.999943092113114,-0.9958093239767543
2000-08-18,0.999943092113114,-0.9958093239767543
2000-08-21,0.999943092113114,-0.9958093239767543
2000-08-22,0.999943092113114,-0.9958093239767543
2000-08-23,0.999943092113114,-0.9958093239767543
2000-08-24,0.999943092113114,-0.9958093239767543
2000-08-25,0.999943092113114,-0.9958093239767543
2000-08-28,0.999943092113114,-0.9958093239767543
2000-08-29,0.999943092113114,-0.9958093239767543
2000-08-30,0.999943092113114,-0.9958093239767543
2000-08-31,1.0207815738832817,-1.0838326098364324
2000-09-01,0.9999512495499885,-0.9964679782365646
2000-09-04,0.9999512495499885,-0.9964576416754989
2000-09-05,0.9999512495499885,-0.9964576402894406
2000-09-06,0.9999512495499885,-0.9964576402892547
2000-09-07,0.9999512495499885,-0.9964576402892547
2000-09-08,0.9999512495499885,-0.9964576402892547
2000-09-11,0.9999512495499885,-0.9964576402892547
2000-09-12,0.9999512495499885,-0.9964576402892547
2000-09-13,0.9999512495499885,-0.9964576402892547
2000-09-14,0.9999512495499885,-0.9964576402892547
2000-09-15,0.9999512495499885,-0.9964576402892547
2000-09-18,0.9999512495499885,-0.9964576402892547
2000-09-19,0.9999512495499885,-0.9964576402892547
2000-09-20,0.9999512495499885,-0.9964576402892547
2000-09-21,0.9999512495499885,-0.9964576402892547
2000-09-22,0.9999512495499885,-0.9964576402892547
2000-09-25,0.9999512495499885,-0.9964576402892547
2000-09-26,0.9999512495499885,-0.9964576402892547
2000-09-27,0.9999512495499885,-0.9964576402892547
2000-09-28,0.9999512495499885,-0.9964576402892547
2000-09-29,0.9999512495499885,-0.9964576402892547
2000-10-02,1.0241951891231245,-1.0925536371229805
2000-10-03,0.9999603115060104,-0.9970605479943175
2000-10-04,0.9999603115060104,-0.9970493729586514
2000-10-05,0.9999603115060104,-0.9970493714601616
2000-10-06,0.9999603115060104,-0.9970493714599605
2000-10-09,0.9999603115060104,-0.9970493714599605
2000-10-10,0.9999603115060104,-0.9970493714599605
2000-10-11,0.9999603115060104,-0.9970493714599605
2000-10-12,0.9999603115060104,-0.9970493714599605
2000-10-13,0.9999603115060104,-0.9970493714599605
2000-10-16,0.9999603115060104,-0.9970493714599605
2000-10-17,0.9999603115060104,-0.9970493714599605
2000-10-18,0.9999603115060104,-0.9970493714599605
2000-10-19,0.9999603115060104,-0.9970493714599605
2000-10-20,0.9999603115060104,-0.9970493714599605
2000-10-23,0.9999603115060104,-0.9970493714599605
2000-10-24,0.9999603115060104,-0.9970493714599605
2000-10-25,0.9999603115060104,-0.9970493714599605
2000-10-26,0.9999603115060104,-0.9970493714599605
2000-10-27,0.9999603115060104,-0.9970493714599605
2000-10-30,0.9999603115060104,-0.9970493714599605
2000-10-31,1.0061903855768006,-1.0201281285574872
2000-11-01,0.9999625909992512,-0.9971834192762901
2000-11-02,0.9999625909992512,-0.997180445547447
2000-11-03,0.9999625909992512,-0.997180445148687
2000-11-06,0.9999625909992512,-0.9971804451486335
2000-11-07,0.9999625909992512,-0.9971804451486335
2000-11-08,0.9999625909992512,-0.9971804451486335
2000-11-09,0.9999625909992512,-0.9971804451486335
2000-11-10,0.9999625909992512,-0.9971804451486335
2000-11-13,0.9999625909992512,-0.9971804451486335
2000-11-14,0.9999625909992512,-0.9971804451486335
2000-11-15,0.9999625909992512,-0.9971804451486335
2000-11-16,0.9999625909992512,-0.9971804451486335
2000-11-17,0.9999625909992512,-0.9971804451486335
2000-11-20,0.9999625909992512,-0.9971804451486335
2000-11-21,0.9999625909992512,-0.9971804451486335
2000-11-22,0.9999625909992512,-0.9971804451486335
2000-11-23,0.9999625909992512,-0.9971804451486335
2000-11-24,0.9999625909992512,-0.9971804451486335
2000-11-27,0.9999625909992512,-0.9971804451486335
2000-11-28,0.9999625909992512,-0.9971804451486335
2000-11-29,0.9999625909992512,-0.9971804451486335
2000-11-30,1.008628716441599,-1.0287634146285536
2000-12-01,0.9999657113576735,-0.997353759172392
2000-12-04,0.9999657113576735,-0.9973497382519417
2000-12-05,0.9999657113576735,-0.9973497377127603
2000-12-06,0.9999657113576735,-0.9973497377126879
2000-12-07,0.9999657113576735,-0.9973497377126879
2000-12-08,0.9999657113576735,-0.9973497377126879
2000-12-11,0.9999657113576735,-0.9973497377126879
2000-12-12,0.9999657113576735,-0.9973497377126879
2000-12-13,0.9999657113576735,-0.9973497377126879
2000-12-14,0.9999657113576735,-0.9973497377126879
2000-12-15,0.9999657113576735,-0.9973497377126879
2000-12-18,0.9999657113576735,-0.9973497377126879
2000-12-19,0.9999657113576735,-0.9973497377126879
2000-12-20,0.9999657113576735,-0.9973497377126879
2000-12-21,0.9999657113576735,-0.9973497377126879
2000-12-22,0.9999657113576735,-0.9973497377126879
2000-12-25,0.9999657113576735,-0.9973497377126879
2000-12-26,0.9999657113576735,-0.9973497377126879
2000-12-27,0.9999657113576735,-0.9973497377126879
2000-12-28,0.9999657113576735,-0.9973497377126879
2000-12-29,0.9999657113576735,-0.9973497377126879
2001-01-01,1.0024223625594415,-1.0060975726089028
2001-01-02,0.999966588860046,-0.9973964558381475
2001-01-03,0.999966588860046,-0.9973953041574546
2001-01-04,0.999966588860046,-0.9973953040030203
2001-01-05,0.999966588860046,-0.9973953040029997
2001-01-08,0.999966588860046,-0.9973953040029997
2001-01-09,0.999966588860046,-0.9973953040029997
2001-01-10,0.999966588860046,-0.9973953040029997
2001-01-11,0.999966588860046,-0.9973953040029997
2001-01-12,0.999966588860046,-0.9973953040029997
2001-01-15,0.999966588860046,-0.9973953040029997
2001-01-16,0.999966588860046,-0.9973953040029997
2001-01-17,0.999966588860046,-0.9973953040029997
2001-01-18,0.999966588860046,-0.9973953040029997
2001-01-19,0.999966588860046,-0.9973953040029997
2001-01-22,0.999966588860046,-0.9973953040029997
2001-01-23,0.999966588860046,-0.9973953040029997
2001-01-24,0.999966588860046,-0.9973953040029997
2001-01-25,0.999966588860046,-0.9973953040029997
2001-01-26,0.999966588860046,-0.9973953040029997
2001-01-29,0.999966588860046,-0.9973953040029997
2001-01-30,0.999966588860046,-0.9973953040029997
2001-01-31,1.0048612844011298,-1.0147419236698931
2001-02-01,0.9999683223407622,-0.997485241222904
2001-02-02,0.9999683223407622,-0.9974829858919287
2001-02-05,0.9999683223407622,-0.9974829855895013
2001-02-06,0.9999683223407622,-0.9974829855894609
2001-02-07,0.9999683223407622,-0.9974829855894609
2001-02-08,0.9999683223407622,-0.9974829855894609
2001-02-09,0.9999683223407622,-0.9974829855894609
2001-02-12,0.9999683223407622,-0.9974829855894609
2001-02-13,0.9999683223407622,-0.9974829855894609
2001-02-14,0.9999683223407622,-0.9974829855894609
2001-02-15,0.9999683223407622,-0.9974829855894609
2001-02-16,0.9999683223407622,-0.9974829855894609
2001-02-19,0.9999683223407622,-0.9974829855894609
2001-02-20,0.9999683223407622,-0.9974829855894609
2001-02-21,0.9999683223407622,-0.9974829855894609
2001-02-22,0.9999683223407622,-0.9974829855894609
2001-02-23,0.9999683223407622,-0.9974829855894609
2001-02-26,0.9999683223407622,-0.9974829855894609
2001-02-27,0.9999683223407622,-0.9974829855894609
2001-02-28,0.985349198739519,-0.9463327119229508
2001-03-01,0.9999630420737292,-0.9971982323151244
2001-03-02,0.9999630420737292,-0.9972056129842917
2001-03-05,0.9999630420737292,-0.9972056139740125
2001-03-06,0.9999630420737292,-0.9972056139741452
2001-03-07,0.9999630420737292,-0.9972056139741453
2001-03-08,0.9999630420737292,-0.9972056139741453
2001-03-09,0.9999630420737292,-0.9972056139741453
2001-03-12,0.9999630420737292,-0.9972056139741453
2001-03-13,0.9999630420737292,-0.9972056139741453
2001-03-14,0.9999630420737292,-0.9972056139741453
2001-03-15,0.9999630420737292,-0.9972056139741453
2001-03-16,0.9999630420737292,-0.9972056139741453
2001-03-19,0.9999630420737292,-0.9972056139741453
2001-03-20,0.9999630420737292,-0.9972056139741453
2001-03-21,0.9999630420737292,-0.9972056139741453
2001-03-22,0.9999630420737292,-0.9972056139741453
2001-03-23,0.9999630420737292,-0.9972056139741453
2001-03-26,0.9999630420737292,-0.9972056139741453
2001-03-27,0.9999630420737292,-0.9972056139741453
2001-03-28,0.9999630420737292,-0.9972056139741453
2001-03-29,0.9999630420737292,-0.9972056139741453
2001-03-30,0.9999630420737292,-0.9972056139741453
2001-04-02,0.9789399287410554,-0.9208470736000901
2001-04-03,0.9999551447867654,-0.9967152753710375
2001-04-04,0.9999551447867654,-0.9967267409248903
2001-04-05,0.9999551447867654,-0.9967267424623888
2001-04-06,0.9999551447867654,-0.996726742462595
2001-04-09,0.9999551447867654,-0.996726742462595
2001-04-10,0.9999551447867654,-0.996726742462595
2001-04-11,0.9999551447867654,-0.996726742462595
2001-04-12,0.9999551447867654,-0.996726742462595
2001-04-13,0.9999551447867654,-0.996726742462595
2001-04-16,0.9999551447867654,-0.996726742462595
2001-04-17,0.9999551447867654,-0.996726742462595
2001-04-18,0.9999551447867654,-0.996726742462595
2001-04-19,0.9999551447867654,-0.996726742462595
2001-04-20,0.9999551447867654,-0.996726742462595
2001-04-23,0.9999551447867654,-0.996726742462595
2001-04-24,0.9999551447867654,-0.996726742462595
2001-04-25,0.9999551447867654,-0.996726742462595
2001-04-26,0.9999551447867654,-0.996726742462595
2001-04-27,0.9999551447867654,-0.996726742462595
2001-04-30,0.991113931250363,-0.9626944269667089
2001-05-01,0.9999517433063844,-0.9964882751024152
2001-05-02,0.9999517433063844,-0.9964930481213209
2001-05-03,0.9999517433063844,-0.9964930487613628
2001-05-04,0.9999517433063844,-0.9964930487614486
2001-05-07,0.9999517433063844,-0.9964930487614487
2001-05-08,0.9999517433063844,-0.9964930487614487
2001-05-09,0.9999517433063844,-0.9964930487614487
2001-05-10,0.9999517433063844,-0.9964930487614487
2001-05-11,0.9999517433063844,-0.9964930487614487
2001-05-14,0.9999517433063844,-0.9964930487614487
2001-05-15,0.9999517433063844,-0.9964930487614487
2001-05-16,0.9999517433063844,-0.9964930487614487
2001-05-17,0.9999517433063844,-0.9964930487614487
2001-05-18,0.9999517433063844,-0.9964930487614487
2001-05-21,0.9999517433063844,-0.9964930487614487
2001-05-22,0.9999517433063844,-0.9964930487614487
2001-05-23,0.9999517433063844,-0.9964930487614487
2001-05-24,0.9999517433063844,-0.9964930487614487
2001-05-25,0.9999517433063844,-0.9964930487614487
2001-05-28,0.9999517433063844,-0.9964930487614487
2001-05-29,0.9999517433063844,-0.9964930487614487
2001-05-30,0.9999517433063844,-0.9964930487614487
2001-05-31,0.9948540828410771,-0.9763640134950821
2001-06-01,0.9999497582170651,-0.9963453330891903
2001-06-04,0.9999497582170651,-0.9963480953050107
2001-06-05,0.9999497582170651,-0.9963480956754113
2001-06-06,0.9999497582170651,-0.9963480956754608
2001-06-07,0.9999497582170651,-0.9963480956754608
2001-06-08,0.9999497582170651,-0.9963480956754608
2001-06-11,0.9999497582170651,-0.9963480956754608
2001-06-12,0.9999497582170651,-0.9963480956754608
2001-06-13,0.9999497582170651,-0.9963480956754608
2001-06-14,0.9999497582170651,-0.9963480956754608
2001-06-15,0.9999497582170651,-0.9963480956754608
2001-06-18,0.9999497582170651,-0.9963480956754608
2001-06-19,0.9999497582170651,-0.9963480956754608
2001-06-20,0.9999497582170651,-0.9963480956754608
2001-06-21,0.9999497582170651,-0.9963480956754608
2001-06-22,0.9999497582170651,-0.9963480956754608
2001-06-25,0.9999497582170651,-0.9963480956754608
2001-06-26,0.9999497582170651,-0.9963480956754608
2001-06-27,0.9999497582170651,-0.9963480956754608
2001-06-28,0.9999497582170651,-0.9963480956754608
2001-06-29,0.9999497582170651,-0.9963480956754608
2001-07-02,0.9871420493248485,-0.9449928125916239
2001-07-03,0.9999446603082237,-0.9959363782650725
2001-07-04,0.9999446603082237,-0.9959437719446094
2001-07-05,0.9999446603082237,-0.995943772936075
2001-07-06,0.9999446603082237,-0.9959437729362078
2001-07-09,0.9999446603082237,-0.9959437729362078
2001-07-10,0.9999446603082237,-0.9959437729362078
2001-07-11,0.9999446603082237,-0.9959437729362078
2001-07-12,0.9999446603082237,-0.9959437729362078
2001-07-13,0.9999446603082237,-0.9959437729362078
2001-07-16,0.9999446603082237,-0.9959437729362078
2001-07-17,0.9999446603082237,-0.9959437729362078
2001-07-18,0.9999446603082237,-0.9959437729362078
2001-07-19,0.9999446603082237,-0.9959437729362078
2001-07-20,0.9999446603082237,-0.9959437729362078
2001-07-23,0.9999446603082237,-0.9959437729362078
2001-07-24,0.9999446603082237,-0.9959437729362078
2001-07-25,0.9999446603082237,-0.9959437729362078
2001-07-26,0.9999446603082237,-0.9959437729362078
2001-07-27,0.9999446603082237,-0.9959437729362078
2001-07-30,0.9999446603082237,-0.9959437729362078
2001-07-31,0.9934560113836983,-0.9688816758952504
2001-08-01,0.9999420354514805,-0.995712202660722
2001-08-02,0.9999420354514805,-0.9957159513457706
2001-08-03,0.9999420354514805,-0.9957159518484529
2001-08-06,0.9999420354514805,-0.9957159518485205
2001-08-07,0.9999420354514805,-0.9957159518485205
2001-08-08,0.9999420354514805,-0.9957159518485205
2001-08-09,0.9999420354514805,-0.9957159518485205
2001-08-10,0.9999420354514805,-0.9957159518485205
2001-08-13,0.9999420354514805,-0.9957159518485205
2001-08-14,0.9999420354514805,-0.9957159518485205
2001-08-15,0.9999420354514805,-0.9957159518485205
2001-08-16,0.9999420354514805,-0.9957159518485205
2001-08-17,0.9999420354514805,-0.9957159518485205
2001-08-20,0.9999420354514805,-0.9957159518485205
2001-08-21,0.9999420354514805,-0.9957159518485205
2001-08-22,0.9999420354514805,-0.9957159518485205
2001-08-23,0.9999420354514805,-0.9957159518485205
2001-08-24,0.9999420354514805,-0.9957159518485205
2001-08-27,0.9999420354514805,-0.9957159518485205
2001-08-28,0.9999420354514805,-0.9957159518485205
2001-08-29,0.9999420354514805,-0.9957159518485205
2001-08-30,0.9999420354514805,-0.9957159518485205
2001-08-31,0.9934145275341106,-0.9679043393631718
2001-09-03,0.9999393601262139,-0.9954645331756209
2001-09-04,0.9999393601262139,-0.995468388223532
2001-09-05,0.9999393601262139,-0.9954683887404773
2001-09-06,0.9999393601262139,-0.9954683887405466
2001-09-07,0.9999393601262139,-0.9954683887405466
2001-09-10,0.9999393601262139,-0.9954683887405466
2001-09-11,0.9999393601262139,-0.9954683887405466
2001-09-12,0.9999393601262139,-0.9954683887405466
2001-09-13,0.9999393601262139,-0.9954683887405466
2001-09-14,0.9999393601262139,-0.9954683887405466
2001-09-17,0.9999393601262139,-0.9954683887405466
2001-09-18,0.9999393601262139,-0.9954683887405466
2001-09-19,0.9999393601262139,-0.9954683887405466
2001-09-20,0.9999393601262139,-0.9954683887405466
2001-09-21,0.9999393601262139,-0.9954683887405466
2001-09-24,0.9999393601262139,-0.9954683887405466
2001-09-25,0.9999393601262139,-0.9954683887405466
2001-09-26,0.9999393601262139,-0.9954683887405466
2001-09-27,0.9999393601262139,-0.9954683887405466
2001-09-28,0.9999393601262139,-0.9954683887405466
2001-10-01,0.9881070312090577,-0.9439830510041428
2001-10-02,0.9999344070199678,-0.9949579329746967
2001-10-03,0.9999344070199678,-0.9949653321643726
2001-10-04,0.9999344070199678,-0.9949653331565769
2001-10-05,0.9999344070199678,-0.9949653331567099
2001-10-08,0.9999344070199678,-0.9949653331567099
2001-10-09,0.9999344070199678,-0.9949653331567099
2001-10-10,0.9999344070199678,-0.9949653331567099
2001-10-11,0.9999344070199678,-0.9949653331567099
2001-10-12,0.9999344070199678,-0.9949653331567099
2001-10-15,0.9999344070199678,-0.9949653331567099
2001-10-16,0.9999344070199678,-0.9949653331567099
2001-10-17,0.9999344070199678,-0.9949653331567099
2001-10-18,0.9999344070199678,-0.9949653331567099
