date,FRA_real_estate_f1,FRA_real_estate_f2
1999-08-23,,
1999-08-24,,
1999-08-25,,
1999-08-26,,
1999-08-27,,
1999-08-30,,
1999-08-31,,
1999-09-01,,
1999-09-02,,
1999-09-03,,
1999-09-06,,
1999-09-07,,
1999-09-08,,
1999-09-09,,
1999-09-10,,
1999-09-13,,
1999-09-14,,
1999-09-15,,
1999-09-16,,
1999-09-17,,
1999-09-20,,
1999-09-21,,
1999-09-22,,
1999-09-23,,
1999-09-24,,
1999-09-27,,
1999-09-28,,
1999-09-29,,
1999-09-30,,
1999-10-01,,
1999-10-04,,
1999-10-05,,
1999-10-06,,
1999-10-07,,
1999-10-08,,
1999-10-11,,
1999-10-12,,
1999-10-13,,
1999-10-14,,
1999-10-15,,
1999-10-18,,
1999-10-19,,
1999-10-20,,
1999-10-21,,
1999-10-22,,
1999-10-25,,
1999-10-26,,
1999-10-27,,
1999-10-28,,
1999-10-29,,
1999-11-01,,
1999-11-02,,
1999-11-03,,
1999-11-04,,
1999-11-05,,
1999-11-08,,
1999-11-09,,
1999-11-10,,
1999-11-11,,
1999-11-12,,
1999-11-15,,
1999-11-16,,
1999-11-17,,
1999-11-18,,
1999-11-19,,
1999-11-22,,
1999-11-23,,
1999-11-24,,
1999-11-25,,
1999-11-26,,
1999-11-29,,
1999-11-30,,
1999-12-01,,
1999-12-02,,
1999-12-03,,
1999-12-06,,
1999-12-07,,
1999-12-08,,
1999-12-09,,
1999-12-10,,
1999-12-13,,
1999-12-14,,
1999-12-15,,
1999-12-16,,
1999-12-17,,
1999-12-20,,
1999-12-21,,
1999-12-22,,
1999-12-23,,
1999-12-24,,
1999-12-27,,
1999-12-28,,
1999-12-29,,
1999-12-30,,
1999-12-31,,
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-01-13,,
2000-01-14,,
2000-01-17,,
2000-01-18,,
2000-01-19,,
2000-01-20,,
2000-01-21,,
2000-01-24,,
2000-01-25,,
2000-01-26,,
2000-01-27,,
2000-01-28,,
2000-01-31,3.274896321168101,0.8250427378647248
2000-02-01,3.2765372365690224,0.8267131306919661
2000-02-02,3.2765484479544886,0.826713130748051
2000-02-03,3.27654852457431,0.826713130748051
2000-02-04,3.276548525097939,0.826713130748051
2000-02-07,3.2765485251015174,0.826713130748051
2000-02-08,3.276548525101542,0.826713130748051
2000-02-09,3.276548525101542,0.826713130748051
2000-02-10,3.276548525101542,0.826713130748051
2000-02-11,3.276548525101542,0.826713130748051
2000-02-14,3.276548525101542,0.826713130748051
2000-02-15,3.276548525101542,0.826713130748051
2000-02-16,3.276548525101542,0.826713130748051
2000-02-17,3.276548525101542,0.826713130748051
2000-02-18,3.276548525101542,0.826713130748051
2000-02-21,3.276548525101542,0.826713130748051
2000-02-22,3.276548525101542,0.826713130748051
2000-02-23,3.276548525101542,0.826713130748051
2000-02-24,3.276548525101542,0.826713130748051
2000-02-25,3.276548525101542,0.826713130748051
2000-02-28,3.276548525101542,0.826713130748051
2000-02-29,3.276548525101542,0.826713130748051
2000-03-01,3.2691795135350836,0.8221922689409462
2000-03-02,3.2691290956784327,0.8221922687885831
2000-03-03,3.269128751114076,0.8221922687885831
2000-03-06,3.269128748759282,0.8221922687885831
2000-03-07,3.2691287487431886,0.8221922687885831
2000-03-08,3.269128748743079,0.8221922687885831
2000-03-09,3.269128748743078,0.8221922687885831
2000-03-10,3.269128748743078,0.8221922687885831
2000-03-13,3.269128748743078,0.8221922687885831
2000-03-14,3.269128748743078,0.8221922687885831
2000-03-15,3.269128748743078,0.8221922687885831
2000-03-16,3.269128748743078,0.8221922687885831
2000-03-17,3.269128748743078,0.8221922687885831
2000-03-20,3.269128748743078,0.8221922687885831
2000-03-21,3.269128748743078,0.8221922687885831
2000-03-22,3.269128748743078,0.8221922687885831
2000-03-23,3.269128748743078,0.8221922687885831
2000-03-24,3.269128748743078,0.8221922687885831
2000-03-27,3.269128748743078,0.8221922687885831
2000-03-28,3.269128748743078,0.8221922687885831
2000-03-29,3.269128748743078,0.8221922687885831
2000-03-30,3.269128748743078,0.8221922687885831
2000-03-31,3.269128748743078,0.8221922687885831
2000-04-03,3.2742037003808697,0.8089576822181288
2000-04-04,3.274238356147004,0.808957681769678
2000-04-05,3.274238592987406,0.808957681769678
2000-04-06,3.2742385946060013,0.808957681769678
2000-04-07,3.274238594617063,0.808957681769678
2000-04-10,3.2742385946171386,0.808957681769678
2000-04-11,3.274238594617139,0.808957681769678
2000-04-12,3.274238594617139,0.808957681769678
2000-04-13,3.274238594617139,0.808957681769678
2000-04-14,3.274238594617139,0.808957681769678
2000-04-17,3.274238594617139,0.808957681769678
2000-04-18,3.274238594617139,0.808957681769678
2000-04-19,3.274238594617139,0.808957681769678
2000-04-20,3.274238594617139,0.808957681769678
2000-04-21,3.274238594617139,0.808957681769678
2000-04-24,3.274238594617139,0.808957681769678
2000-04-25,3.274238594617139,0.808957681769678
2000-04-26,3.274238594617139,0.808957681769678
2000-04-27,3.274238594617139,0.808957681769678
2000-04-28,3.274238594617139,0.808957681769678
2000-05-01,3.274238594617139,0.808957681769678
2000-05-02,3.277645063286685,0.841107700052665
2000-05-03,3.2776683313220887,0.8411077011125704
2000-05-04,3.2776684903380664,0.8411077011125704
2000-05-05,3.2776684914248007,0.8411077011125704
2000-05-08,3.2776684914322276,0.8411077011125704
2000-05-09,3.2776684914322782,0.8411077011125704
2000-05-10,3.2776684914322787,0.8411077011125704
2000-05-11,3.2776684914322787,0.8411077011125704
2000-05-12,3.2776684914322787,0.8411077011125704
2000-05-15,3.2776684914322787,0.8411077011125704
2000-05-16,3.2776684914322787,0.8411077011125704
2000-05-17,3.2776684914322787,0.8411077011125704
2000-05-18,3.2776684914322787,0.8411077011125704
2000-05-19,3.2776684914322787,0.8411077011125704
2000-05-22,3.2776684914322787,0.8411077011125704
2000-05-23,3.2776684914322787,0.8411077011125704
2000-05-24,3.2776684914322787,0.8411077011125704
2000-05-25,3.2776684914322787,0.8411077011125704
2000-05-26,3.2776684914322787,0.8411077011125704
2000-05-29,3.2776684914322787,0.8411077011125704
2000-05-30,3.2776684914322787,0.8411077011125704
2000-05-31,3.2776684914322787,0.8411077011125704
2000-06-01,3.2924167908267075,0.8501504383562486
2000-06-02,3.29251735519162,0.8501504386585571
2000-06-05,3.292518042449988,0.8501504386585571
2000-06-06,3.292518047146794,0.8501504386585571
2000-06-07,3.292518047178892,0.8501504386585571
2000-06-08,3.2925180471791116,0.8501504386585571
2000-06-09,3.292518047179113,0.8501504386585571
2000-06-12,3.292518047179113,0.8501504386585571
2000-06-13,3.292518047179113,0.8501504386585571
2000-06-14,3.292518047179113,0.8501504386585571
2000-06-15,3.292518047179113,0.8501504386585571
2000-06-16,3.292518047179113,0.8501504386585571
2000-06-19,3.292518047179113,0.8501504386585571
2000-06-20,3.292518047179113,0.8501504386585571
2000-06-21,3.292518047179113,0.8501504386585571
2000-06-22,3.292518047179113,0.8501504386585571
2000-06-23,3.292518047179113,0.8501504386585571
2000-06-26,3.292518047179113,0.8501504386585571
2000-06-27,3.292518047179113,0.8501504386585571
2000-06-28,3.292518047179113,0.8501504386585571
2000-06-29,3.292518047179113,0.8501504386585571
2000-06-30,3.292518047179113,0.8501504386585571
2000-07-03,3.3190156578691257,0.8582272086491987
2000-07-04,3.3191960179550692,0.8582272089193802
2000-07-05,3.319197250523819,0.8582272089193802
2000-07-06,3.31919725894734,0.8582272089193802
2000-07-07,3.3191972590049073,0.8582272089193802
2000-07-10,3.3191972590053007,0.8582272089193802
2000-07-11,3.3191972590053034,0.8582272089193802
2000-07-12,3.3191972590053034,0.8582272089193802
2000-07-13,3.3191972590053034,0.8582272089193802
2000-07-14,3.3191972590053034,0.8582272089193802
2000-07-17,3.3191972590053034,0.8582272089193802
2000-07-18,3.3191972590053034,0.8582272089193802
2000-07-19,3.3191972590053034,0.8582272089193802
2000-07-20,3.3191972590053034,0.8582272089193802
2000-07-21,3.3191972590053034,0.8582272089193802
2000-07-24,3.3191972590053034,0.8582272089193802
2000-07-25,3.3191972590053034,0.8582272089193802
2000-07-26,3.3191972590053034,0.8582272089193802
2000-07-27,3.3191972590053034,0.8582272089193802
2000-07-28,3.3191972590053034,0.8582272089193802
2000-07-31,3.3191972590053034,0.8582272089193802
2000-08-01,3.3650823489864337,0.8995950955884722
2000-08-02,3.365393780823033,0.8995950969468718
2000-08-03,3.365395909086419,0.8995950969468718
2000-08-04,3.3653959236312216,0.8995950969468718
2000-08-07,3.3653959237306226,0.8995950969468718
2000-08-08,3.365395923731302,0.8995950969468718
2000-08-09,3.3653959237313065,0.8995950969468718
2000-08-10,3.3653959237313065,0.8995950969468718
2000-08-11,3.3653959237313065,0.8995950969468718
2000-08-14,3.3653959237313065,0.8995950969468718
2000-08-15,3.3653959237313065,0.8995950969468718
2000-08-16,3.3653959237313065,0.8995950969468718
2000-08-17,3.3653959237313065,0.8995950969468718
2000-08-18,3.3653959237313065,0.8995950969468718
2000-08-21,3.3653959237313065,0.8995950969468718
2000-08-22,3.3653959237313065,0.8995950969468718
2000-08-23,3.3653959237313065,0.8995950969468718
2000-08-24,3.3653959237313065,0.8995950969468718
2000-08-25,3.3653959237313065,0.8995950969468718
2000-08-28,3.3653959237313065,0.8995950969468718
2000-08-29,3.3653959237313065,0.8995950969468718
2000-08-30,3.3653959237313065,0.8995950969468718
2000-08-31,3.3653959237313065,0.8995950969468718
2000-09-01,3.3690804780938612,0.9018560390385919
2000-09-04,3.369105644917179,0.9018560391144866
2000-09-05,3.3691058169096224,0.9018560391144866
2000-09-06,3.369105818085039,0.9018560391144866
2000-09-07,3.369105818093072,0.9018560391144866
2000-09-08,3.369105818093127,0.9018560391144866
2000-09-11,3.3691058180931273,0.9018560391144866
2000-09-12,3.3691058180931273,0.9018560391144866
2000-09-13,3.3691058180931273,0.9018560391144866
2000-09-14,3.3691058180931273,0.9018560391144866
2000-09-15,3.3691058180931273,0.9018560391144866
2000-09-18,3.3691058180931273,0.9018560391144866
2000-09-19,3.3691058180931273,0.9018560391144866
2000-09-20,3.3691058180931273,0.9018560391144866
2000-09-21,3.3691058180931273,0.9018560391144866
2000-09-22,3.3691058180931273,0.9018560391144866
2000-09-25,3.3691058180931273,0.9018560391144866
2000-09-26,3.3691058180931273,0.9018560391144866
2000-09-27,3.3691058180931273,0.9018560391144866
2000-09-28,3.3691058180931273,0.9018560391144866
2000-09-29,3.3691058180931273,0.9018560391144866
2000-10-02,3.3691058180931273,0.9018560391144866
2000-10-03,3.365490810584328,0.8771596878295936
2000-10-04,3.365466091829978,0.8771596869878687
2000-10-05,3.3654659228984203,0.8771596869878686
2000-10-06,3.3654659217439216,0.8771596869878686
2000-10-09,3.365465921736032,0.8771596869878686
2000-10-10,3.3654659217359777,0.8771596869878686
2000-10-11,3.3654659217359777,0.8771596869878686
2000-10-12,3.3654659217359777,0.8771596869878686
2000-10-13,3.3654659217359777,0.8771596869878686
2000-10-16,3.3654659217359777,0.8771596869878686
2000-10-17,3.3654659217359777,0.8771596869878686
2000-10-18,3.3654659217359777,0.8771596869878686
2000-10-19,3.3654659217359777,0.8771596869878686
2000-10-20,3.3654659217359777,0.8771596869878686
2000-10-23,3.3654659217359777,0.8771596869878686
2000-10-24,3.3654659217359777,0.8771596869878686
2000-10-25,3.3654659217359777,0.8771596869878686
2000-10-26,3.3654659217359777,0.8771596869878686
2000-10-27,3.3654659217359777,0.8771596869878686
2000-10-30,3.3654659217359777,0.8771596869878686
2000-10-31,3.3654659217359777,0.8771596869878686
2000-11-01,3.3738182804401173,0.9073448989178653
2000-11-02,3.373875290323939,0.9073448999155098
2000-11-03,3.3738756799330107,0.9073448999155099
2000-11-06,3.3738756825956457,0.9073448999155099
2000-11-07,3.3738756826138423,0.9073448999155099
2000-11-08,3.373875682613967,0.9073448999155099
2000-11-09,3.373875682613968,0.9073448999155099
2000-11-10,3.373875682613968,0.9073448999155099
2000-11-13,3.373875682613968,0.9073448999155099
2000-11-14,3.373875682613968,0.9073448999155099
2000-11-15,3.373875682613968,0.9073448999155099
2000-11-16,3.373875682613968,0.9073448999155099
2000-11-17,3.373875682613968,0.9073448999155099
2000-11-20,3.373875682613968,0.9073448999155099
2000-11-21,3.373875682613968,0.9073448999155099
2000-11-22,3.373875682613968,0.9073448999155099
2000-11-23,3.373875682613968,0.9073448999155099
2000-11-24,3.373875682613968,0.9073448999155099
2000-11-27,3.373875682613968,0.9073448999155099
2000-11-28,3.373875682613968,0.9073448999155099
2000-11-29,3.373875682613968,0.9073448999155099
2000-11-30,3.373875682613968,0.9073448999155099
2000-12-01,3.3665066567521738,0.9028240145956927
2000-12-04,3.3664562404497937,0.9028240144433661
2000-12-05,3.3664558958961366,0.9028240144433661
2000-12-06,3.3664558935414153,0.9028240144433661
2000-12-07,3.366455893525323,0.9028240144433661
2000-12-08,3.3664558935252127,0.9028240144433661
2000-12-11,3.366455893525212,0.9028240144433661
2000-12-12,3.366455893525212,0.9028240144433661
2000-12-13,3.366455893525212,0.9028240144433661
2000-12-14,3.366455893525212,0.9028240144433661
2000-12-15,3.366455893525212,0.9028240144433661
2000-12-18,3.366455893525212,0.9028240144433661
2000-12-19,3.366455893525212,0.9028240144433661
2000-12-20,3.366455893525212,0.9028240144433661
2000-12-21,3.366455893525212,0.9028240144433661
2000-12-22,3.366455893525212,0.9028240144433661
2000-12-25,3.366455893525212,0.9028240144433661
2000-12-26,3.366455893525212,0.9028240144433661
2000-12-27,3.366455893525212,0.9028240144433661
2000-12-28,3.366455893525212,0.9028240144433661
2000-12-29,3.366455893525212,0.9028240144433661
2001-01-01,3.366455893525212,0.9028240144433661
2001-01-02,3.381482296868634,0.9304283315885388
2001-01-03,3.381584759391176,0.9304283325025524
2001-01-04,3.3815854596216677,0.9304283325025524
2001-01-05,3.3815854644071264,0.9304283325025524
2001-01-08,3.3815854644398304,0.9304283325025524
2001-01-09,3.3815854644400543,0.9304283325025524
2001-01-10,3.3815854644400556,0.9304283325025524
2001-01-11,3.3815854644400556,0.9304283325025524
2001-01-12,3.3815854644400556,0.9304283325025524
2001-01-15,3.3815854644400556,0.9304283325025524
2001-01-16,3.3815854644400556,0.9304283325025524
2001-01-17,3.3815854644400556,0.9304283325025524
2001-01-18,3.3815854644400556,0.9304283325025524
2001-01-19,3.3815854644400556,0.9304283325025524
2001-01-22,3.3815854644400556,0.9304283325025524
2001-01-23,3.3815854644400556,0.9304283325025524
2001-01-24,3.3815854644400556,0.9304283325025524
2001-01-25,3.3815854644400556,0.9304283325025524
2001-01-26,3.3815854644400556,0.9304283325025524
2001-01-29,3.3815854644400556,0.9304283325025524
2001-01-30,3.3815854644400556,0.9304283325025524
2001-01-31,3.3815854644400556,0.9304283325025524
2001-02-01,3.3820919650015684,0.9376691600336994
2001-02-02,3.38209542622621,0.9376691602761227
2001-02-05,3.3820954498806226,0.9376691602761228
2001-02-06,3.3820954500422795,0.9376691602761228
2001-02-07,3.3820954500433844,0.9376691602761228
2001-02-08,3.3820954500433915,0.9376691602761228
2001-02-09,3.382095450043392,0.9376691602761228
2001-02-12,3.382095450043392,0.9376691602761228
2001-02-13,3.382095450043392,0.9376691602761228
2001-02-14,3.382095450043392,0.9376691602761228
2001-02-15,3.382095450043392,0.9376691602761228
2001-02-16,3.382095450043392,0.9376691602761228
2001-02-19,3.382095450043392,0.9376691602761228
2001-02-20,3.382095450043392,0.9376691602761228
2001-02-21,3.382095450043392,0.9376691602761228
2001-02-22,3.382095450043392,0.9376691602761228
2001-02-23,3.382095450043392,0.9376691602761228
2001-02-26,3.382095450043392,0.9376691602761228
2001-02-27,3.382095450043392,0.9376691602761228
2001-02-28,3.382095450043392,0.9376691602761228
2001-03-01,3.359978775199867,0.9241054855625863
2001-03-02,3.359827126310923,0.9241054851033679
2001-03-05,3.3598260899006718,0.9241054851033679
2001-03-06,3.359826082817719,0.9241054851033679
2001-03-07,3.359826082769313,0.9241054851033679
2001-03-08,3.3598260827689823,0.9241054851033679
2001-03-09,3.35982608276898,0.9241054851033679
2001-03-12,3.35982608276898,0.9241054851033679
2001-03-13,3.35982608276898,0.9241054851033679
2001-03-14,3.35982608276898,0.9241054851033679
2001-03-15,3.35982608276898,0.9241054851033679
2001-03-16,3.35982608276898,0.9241054851033679
2001-03-19,3.35982608276898,0.9241054851033679
2001-03-20,3.35982608276898,0.9241054851033679
2001-03-21,3.35982608276898,0.9241054851033679
2001-03-22,3.35982608276898,0.9241054851033679
2001-03-23,3.35982608276898,0.9241054851033679
2001-03-26,3.35982608276898,0.9241054851033679
2001-03-27,3.35982608276898,0.9241054851033679
2001-03-28,3.35982608276898,0.9241054851033679
2001-03-29,3.35982608276898,0.9241054851033679
2001-03-30,3.35982608276898,0.9241054851033679
2001-04-02,3.35982608276898,0.9241054851033679
2001-04-03,3.3330419118284533,0.8974661525781009
2001-04-04,3.332858125047998,0.8974661516694693
2001-04-05,3.3328568689922218,0.8974661516694693
2001-04-06,3.3328568604081843,0.8974661516694693
2001-04-09,3.33285686034952,0.8974661516694693
2001-04-10,3.332856860349119,0.8974661516694693
2001-04-11,3.332856860349116,0.8974661516694693
2001-04-12,3.332856860349116,0.8974661516694693
2001-04-13,3.332856860349116,0.8974661516694693
2001-04-16,3.332856860349116,0.8974661516694693
2001-04-17,3.332856860349116,0.8974661516694693
2001-04-18,3.332856860349116,0.8974661516694693
2001-04-19,3.332856860349116,0.8974661516694693
2001-04-20,3.332856860349116,0.8974661516694693
2001-04-23,3.332856860349116,0.8974661516694693
2001-04-24,3.332856860349116,0.8974661516694693
2001-04-25,3.332856860349116,0.8974661516694693
2001-04-26,3.332856860349116,0.8974661516694693
2001-04-27,3.332856860349116,0.8974661516694693
2001-04-30,3.332856860349116,0.8974661516694693
2001-05-01,3.344913694492341,0.8889673730232224
2001-05-02,3.3449959428296,0.8889673727362144
2001-05-03,3.3449965049176473,0.8889673727362144
2001-05-04,3.3449965087590243,0.8889673727362144
2001-05-07,3.3449965087852767,0.8889673727362144
2001-05-08,3.344996508785456,0.8889673727362144
2001-05-09,3.344996508785457,0.8889673727362144
2001-05-10,3.344996508785457,0.8889673727362144
2001-05-11,3.344996508785457,0.8889673727362144
2001-05-14,3.344996508785457,0.8889673727362144
2001-05-15,3.344996508785457,0.8889673727362144
2001-05-16,3.344996508785457,0.8889673727362144
2001-05-17,3.344996508785457,0.8889673727362144
2001-05-18,3.344996508785457,0.8889673727362144
2001-05-21,3.344996508785457,0.8889673727362144
2001-05-22,3.344996508785457,0.8889673727362144
2001-05-23,3.344996508785457,0.8889673727362144
2001-05-24,3.344996508785457,0.8889673727362144
2001-05-25,3.344996508785457,0.8889673727362144
2001-05-28,3.344996508785457,0.8889673727362144
2001-05-29,3.344996508785457,0.8889673727362144
2001-05-30,3.344996508785457,0.8889673727362144
2001-05-31,3.344996508785457,0.8889673727362144
2001-06-01,3.32286992268502,0.875403734905036
2001-06-04,3.3227182000133753,0.8754037344456327
2001-06-05,3.322717163098598,0.8754037344456327
2001-06-06,3.322717156012197,0.8754037344456327
2001-06-07,3.3227171559637676,0.8754037344456327
2001-06-08,3.3227171559634368,0.8754037344456327
2001-06-11,3.3227171559634345,0.8754037344456327
2001-06-12,3.3227171559634345,0.8754037344456327
2001-06-13,3.3227171559634345,0.8754037344456327
2001-06-14,3.3227171559634345,0.8754037344456327
2001-06-15,3.3227171559634345,0.8754037344456327
2001-06-18,3.3227171559634345,0.8754037344456327
2001-06-19,3.3227171559634345,0.8754037344456327
2001-06-20,3.3227171559634345,0.8754037344456327
2001-06-21,3.3227171559634345,0.8754037344456327
2001-06-22,3.3227171559634345,0.8754037344456327
2001-06-25,3.3227171559634345,0.8754037344456327
2001-06-26,3.3227171559634345,0.8754037344456327
2001-06-27,3.3227171559634345,0.8754037344456327
2001-06-28,3.3227171559634345,0.8754037344456327
2001-06-29,3.3227171559634345,0.8754037344456327
2001-07-02,3.3227171559634345,0.8754037344456327
2001-07-03,3.2510777431668014,0.8069507479772937
2001-07-04,3.2505827189091776,0.8069507455790175
2001-07-05,3.2505793355946473,0.8069507455790174
2001-07-06,3.2505793124726576,0.8069507455790174
2001-07-09,3.250579312314639,0.8069507455790174
2001-07-10,3.250579312313559,0.8069507455790174
2001-07-11,3.250579312313552,0.8069507455790174
2001-07-12,3.250579312313552,0.8069507455790174
2001-07-13,3.250579312313552,0.8069507455790174
2001-07-16,3.250579312313552,0.8069507455790174
2001-07-17,3.250579312313552,0.8069507455790174
2001-07-18,3.250579312313552,0.8069507455790174
2001-07-19,3.250579312313552,0.8069507455790174
2001-07-20,3.250579312313552,0.8069507455790174
2001-07-23,3.250579312313552,0.8069507455790174
2001-07-24,3.250579312313552,0.8069507455790174
2001-07-25,3.250579312313552,0.8069507455790174
2001-07-26,3.250579312313552,0.8069507455790174
2001-07-27,3.250579312313552,0.8069507455790174
2001-07-30,3.250579312313552,0.8069507455790174
2001-07-31,3.250579312313552,0.8069507455790174
2001-08-01,3.1676798903913213,0.8174824138729483
2001-08-02,3.167105880440954,0.8174824142246359
2001-08-03,3.1671019572301615,0.8174824142246359
2001-08-06,3.167101930418452,0.8174824142246359
2001-08-07,3.167101930235217,0.8174824142246359
2001-08-08,3.167101930233965,0.8174824142246359
2001-08-09,3.1671019302339563,0.8174824142246359
2001-08-10,3.1671019302339563,0.8174824142246359
2001-08-13,3.1671019302339563,0.8174824142246359
2001-08-14,3.1671019302339563,0.8174824142246359
2001-08-15,3.1671019302339563,0.8174824142246359
2001-08-16,3.1671019302339563,0.8174824142246359
2001-08-17,3.1671019302339563,0.8174824142246359
2001-08-20,3.1671019302339563,0.8174824142246359
2001-08-21,3.1671019302339563,0.8174824142246359
2001-08-22,3.1671019302339563,0.8174824142246359
2001-08-23,3.1671019302339563,0.8174824142246359
2001-08-24,3.1671019302339563,0.8174824142246359
2001-08-27,3.1671019302339563,0.8174824142246359
2001-08-28,3.1671019302339563,0.8174824142246359
2001-08-29,3.1671019302339563,0.8174824142246359
2001-08-30,3.1671019302339563,0.8174824142246359
2001-08-31,3.1671019302339563,0.8174824142246359
2001-09-03,3.1634074870601725,0.8152224846822475
2001-09-04,3.163382223948056,0.8152224846061864
2001-09-05,3.1633820512962227,0.8152224846061864
2001-09-06,3.1633820501162995,0.8152224846061864
2001-09-07,3.1633820501082357,0.8152224846061864
2001-09-10,3.1633820501081806,0.8152224846061864
2001-09-11,3.16338205010818,0.8152224846061864
2001-09-12,3.16338205010818,0.8152224846061864
2001-09-13,3.16338205010818,0.8152224846061864
2001-09-14,3.16338205010818,0.8152224846061864
2001-09-17,3.16338205010818,0.8152224846061864
2001-09-18,3.16338205010818,0.8152224846061864
2001-09-19,3.16338205010818,0.8152224846061864
2001-09-20,3.16338205010818,0.8152224846061864
2001-09-21,3.16338205010818,0.8152224846061864
2001-09-24,3.16338205010818,0.8152224846061864
2001-09-25,3.16338205010818,0.8152224846061864
2001-09-26,3.16338205010818,0.8152224846061864
2001-09-27,3.16338205010818,0.8152224846061864
2001-09-28,3.16338205010818,0.8152224846061864
2001-10-01,3.16338205010818,0.8152224846061864
2001-10-02,3.127491623755725,0.8034308586612369
2001-10-03,3.127244927158644,0.8034308582620141
2001-10-04,3.127243241137547,0.8034308582620141
2001-10-05,3.127243229615073,0.8034308582620141
2001-10-08,3.1272432295363273,0.8034308582620141
2001-10-09,3.1272432295357895,0.8034308582620141
2001-10-10,3.1272432295357855,0.8034308582620141
2001-10-11,3.1272432295357855,0.8034308582620141
2001-10-12,3.1272432295357855,0.8034308582620141
2001-10-15,3.1272432295357855,0.8034308582620141
2001-10-16,3.1272432295357855,0.8034308582620141
2001-10-17,3.1272432295357855,0.8034308582620141
2001-10-18,3.1272432295357855,0.8034308582620141
2001-10-19,3.1272432295357855,0.8034308582620141
2001-10-22,3.1272432295357855,0.8034308582620141
2001-10-23,3.1272432295357855,0.8034308582620141
2001-10-24,3.1272432295357855,0.8034308582620141
2001-10-25,3.1272432295357855,0.8034308582620141
2001-10-26,3.1272432295357855,0.8034308582620141
2001-10-29,3.1272432295357855,0.8034308582620141
2001-10-30,3.1272432295357855,0.8034308582620141
2001-10-31,3.1272432295357855,0.8034308582620141
2001-11-01,3.1212149521039714,0.7834865165560717
2001-11-02,3.121173714075662,0.7834865158772139
2001-11-05,3.1211734322481544,0.7834865158772139
2001-11-06,3.121173430322111,0.7834865158772139
2001-11-07,3.1211734303089487,0.7834865158772139
2001-11-08,3.1211734303088585,0.7834865158772139
2001-11-09,3.1211734303088576,0.7834865158772139
2001-11-12,3.1211734303088576,0.7834865158772139
2001-11-13,3.1211734303088576,0.7834865158772139
2001-11-14,3.1211734303088576,0.7834865158772139
2001-11-15,3.1211734303088576,0.7834865158772139
2001-11-16,3.1211734303088576,0.7834865158772139
2001-11-19,3.1211734303088576,0.7834865158772139
2001-11-20,3.1211734303088576,0.7834865158772139
2001-11-21,3.1211734303088576,0.7834865158772139
2001-11-22,3.1211734303088576,0.7834865158772139
2001-11-23,3.1211734303088576,0.7834865158772139
