date,ITA_real_estate_f1,ITA_real_estate_f2
1999-08-23,,
1999-08-24,,
1999-08-25,,
1999-08-26,,
1999-08-27,,
1999-08-30,,
1999-08-31,,
1999-09-01,,
1999-09-02,,
1999-09-03,,
1999-09-06,,
1999-09-07,,
1999-09-08,,
1999-09-09,,
1999-09-10,,
1999-09-13,,
1999-09-14,,
1999-09-15,,
1999-09-16,,
1999-09-17,,
1999-09-20,,
1999-09-21,,
1999-09-22,,
1999-09-23,,
1999-09-24,,
1999-09-27,,
1999-09-28,,
1999-09-29,,
1999-09-30,,
1999-10-01,,
1999-10-04,,
1999-10-05,,
1999-10-06,,
1999-10-07,,
1999-10-08,,
1999-10-11,,
1999-10-12,,
1999-10-13,,
1999-10-14,,
1999-10-15,,
1999-10-18,,
1999-10-19,,
1999-10-20,,
1999-10-21,,
1999-10-22,,
1999-10-25,,
1999-10-26,,
1999-10-27,,
1999-10-28,,
1999-10-29,,
1999-11-01,,
1999-11-02,,
1999-11-03,,
1999-11-04,,
1999-11-05,,
1999-11-08,,
1999-11-09,,
1999-11-10,,
1999-11-11,,
1999-11-12,,
1999-11-15,,
1999-11-16,,
1999-11-17,,
1999-11-18,,
1999-11-19,,
1999-11-22,,
1999-11-23,,
1999-11-24,,
1999-11-25,,
1999-11-26,,
1999-11-29,,
1999-11-30,,
1999-12-01,,
1999-12-02,,
1999-12-03,,
1999-12-06,,
1999-12-07,,
1999-12-08,,
1999-12-09,,
1999-12-10,,
1999-12-13,,
1999-12-14,,
1999-12-15,,
1999-12-16,,
1999-12-17,,
1999-12-20,,
1999-12-21,,
1999-12-22,,
1999-12-23,,
1999-12-24,,
1999-12-27,,
1999-12-28,,
1999-12-29,,
1999-12-30,,
1999-12-31,,
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-01-13,,
2000-01-14,,
2000-01-17,,
2000-01-18,,
2000-01-19,,
2000-01-20,,
2000-01-21,,
2000-01-24,,
2000-01-25,,
2000-01-26,,
2000-01-27,,
2000-01-28,,
2000-01-31,0.9888327375468773,0.9451094620861802
2000-02-01,0.9996953054339068,0.9999894146038304
2000-02-02,0.9996953054339068,0.9999894146038304
2000-02-03,0.9996953054339068,0.9999894146038304
2000-02-04,0.9996953054339068,0.9999894146038304
2000-02-07,0.9996953054339068,0.9999894146038304
2000-02-08,0.9996953054339068,0.9999894146038304
2000-02-09,0.9996953054339068,0.9999894146038304
2000-02-10,0.9996953054339068,0.9999894146038304
2000-02-11,0.9996953054339068,0.9999894146038304
2000-02-14,0.9996953054339068,0.9999894146038304
2000-02-15,0.9996953054339068,0.9999894146038304
2000-02-16,0.9996953054339068,0.9999894146038304
2000-02-17,0.9996953054339068,0.9999894146038304
2000-02-18,0.9996953054339068,0.9999894146038304
2000-02-21,0.9996953054339068,0.9999894146038304
2000-02-22,0.9996953054339068,0.9999894146038304
2000-02-23,0.9996953054339068,0.9999894146038304
2000-02-24,0.9996953054339068,0.9999894146038304
2000-02-25,0.9996953054339068,0.9999894146038304
2000-02-28,0.9996953054339068,0.9999894146038304
2000-02-29,1.040274621572446,1.1988249012664811
2000-03-01,0.9997186031772416,0.9999926347327588
2000-03-02,0.9997186031772416,0.9999926347327588
2000-03-03,0.9997186031772416,0.9999926347327588
2000-03-06,0.9997186031772416,0.9999926347327588
2000-03-07,0.9997186031772416,0.9999926347327588
2000-03-08,0.9997186031772416,0.9999926347327588
2000-03-09,0.9997186031772416,0.9999926347327588
2000-03-10,0.9997186031772416,0.9999926347327588
2000-03-13,0.9997186031772416,0.9999926347327588
2000-03-14,0.9997186031772416,0.9999926347327588
2000-03-15,0.9997186031772416,0.9999926347327588
2000-03-16,0.9997186031772416,0.9999926347327588
2000-03-17,0.9997186031772416,0.9999926347327588
2000-03-20,0.9997186031772416,0.9999926347327588
2000-03-21,0.9997186031772416,0.9999926347327588
2000-03-22,0.9997186031772416,0.9999926347327588
2000-03-23,0.9997186031772416,0.9999926347327588
2000-03-24,0.9997186031772416,0.9999926347327588
2000-03-27,0.9997186031772416,0.9999926347327588
2000-03-28,0.9997186031772416,0.9999926347327588
2000-03-29,0.9997186031772416,0.9999926347327588
2000-03-30,0.9997186031772416,0.9999926347327588
2000-03-31,1.0021439737252564,1.0210685065700589
2000-04-03,0.9997199630205308,0.9999929356445085
2000-04-04,0.9997199630205308,0.9999929356445085
2000-04-05,0.9997199630205308,0.9999929356445085
2000-04-06,0.9997199630205308,0.9999929356445085
2000-04-07,0.9997199630205308,0.9999929356445085
2000-04-10,0.9997199630205308,0.9999929356445085
2000-04-11,0.9997199630205308,0.9999929356445085
2000-04-12,0.9997199630205308,0.9999929356445085
2000-04-13,0.9997199630205308,0.9999929356445085
2000-04-14,0.9997199630205308,0.9999929356445085
2000-04-17,0.9997199630205308,0.9999929356445085
2000-04-18,0.9997199630205308,0.9999929356445085
2000-04-19,0.9997199630205308,0.9999929356445085
2000-04-20,0.9997199630205308,0.9999929356445085
2000-04-21,0.9997199630205308,0.9999929356445085
2000-04-24,0.9997199630205308,0.9999929356445085
2000-04-25,0.9997199630205308,0.9999929356445085
2000-04-26,0.9997199630205308,0.9999929356445085
2000-04-27,0.9997199630205308,0.9999929356445085
2000-04-28,0.9997199630205308,0.9999929356445085
2000-05-01,0.9889836733943757,0.9965896311134522
2000-05-02,0.9997138525451857,0.999992887313788
2000-05-03,0.9997138525451857,0.999992887313788
2000-05-04,0.9997138525451857,0.999992887313788
2000-05-05,0.9997138525451857,0.999992887313788
2000-05-08,0.9997138525451857,0.999992887313788
2000-05-09,0.9997138525451857,0.999992887313788
2000-05-10,0.9997138525451857,0.999992887313788
2000-05-11,0.9997138525451857,0.999992887313788
2000-05-12,0.9997138525451857,0.999992887313788
2000-05-15,0.9997138525451857,0.999992887313788
2000-05-16,0.9997138525451857,0.999992887313788
2000-05-17,0.9997138525451857,0.999992887313788
2000-05-18,0.9997138525451857,0.999992887313788
2000-05-19,0.9997138525451857,0.999992887313788
2000-05-22,0.9997138525451857,0.999992887313788
2000-05-23,0.9997138525451857,0.999992887313788
2000-05-24,0.9997138525451857,0.999992887313788
2000-05-25,0.9997138525451857,0.999992887313788
2000-05-26,0.9997138525451857,0.999992887313788
2000-05-29,0.9997138525451857,0.999992887313788
2000-05-30,0.9997138525451857,0.999992887313788
2000-05-31,1.0208866226782745,1.0877556851371348
2000-06-01,0.9997255937919294,0.9999939887406527
2000-06-02,0.9997255937919294,0.9999939887406527
2000-06-05,0.9997255937919294,0.9999939887406527
2000-06-06,0.9997255937919294,0.9999939887406527
2000-06-07,0.9997255937919294,0.9999939887406527
2000-06-08,0.9997255937919294,0.9999939887406527
2000-06-09,0.9997255937919294,0.9999939887406527
2000-06-12,0.9997255937919294,0.9999939887406527
2000-06-13,0.9997255937919294,0.9999939887406527
2000-06-14,0.9997255937919294,0.9999939887406527
2000-06-15,0.9997255937919294,0.9999939887406527
2000-06-16,0.9997255937919294,0.9999939887406527
2000-06-19,0.9997255937919294,0.9999939887406527
2000-06-20,0.9997255937919294,0.9999939887406527
2000-06-21,0.9997255937919294,0.9999939887406527
2000-06-22,0.9997255937919294,0.9999939887406527
2000-06-23,0.9997255937919294,0.9999939887406527
2000-06-26,0.9997255937919294,0.9999939887406527
2000-06-27,0.9997255937919294,0.9999939887406527
2000-06-28,0.9997255937919294,0.9999939887406527
2000-06-29,0.9997255937919294,0.9999939887406527
2000-06-30,1.008434899522495,1.0425323433571487
2000-07-03,0.9997303112108784,0.9999944692824179
2000-07-04,0.9997303112108784,0.9999944692824179
2000-07-05,0.9997303112108784,0.9999944692824179
2000-07-06,0.9997303112108784,0.9999944692824179
2000-07-07,0.9997303112108784,0.9999944692824179
2000-07-10,0.9997303112108784,0.9999944692824179
2000-07-11,0.9997303112108784,0.9999944692824179
2000-07-12,0.9997303112108784,0.9999944692824179
2000-07-13,0.9997303112108784,0.9999944692824179
2000-07-14,0.9997303112108784,0.9999944692824179
2000-07-17,0.9997303112108784,0.9999944692824179
2000-07-18,0.9997303112108784,0.9999944692824179
2000-07-19,0.9997303112108784,0.9999944692824179
2000-07-20,0.9997303112108784,0.9999944692824179
2000-07-21,0.9997303112108784,0.9999944692824179
2000-07-24,0.9997303112108784,0.9999944692824179
2000-07-25,0.9997303112108784,0.9999944692824179
2000-07-26,0.9997303112108784,0.9999944692824179
2000-07-27,0.9997303112108784,0.9999944692824179
2000-07-28,0.9997303112108784,0.9999944692824179
2000-07-31,1.0072159380751744,1.0558117239462999
2000-08-01,0.9997343033762751,0.9999950386017513
2000-08-02,0.9997343033762751,0.9999950386017513
2000-08-03,0.9997343033762751,0.9999950386017513
2000-08-04,0.9997343033762751,0.9999950386017513
2000-08-07,0.9997343033762751,0.9999950386017513
2000-08-08,0.9997343033762751,0.9999950386017513
2000-08-09,0.9997343033762751,0.9999950386017513
2000-08-10,0.9997343033762751,0.9999950386017513
2000-08-11,0.9997343033762751,0.9999950386017513
2000-08-14,0.9997343033762751,0.9999950386017513
2000-08-15,0.9997343033762751,0.9999950386017513
2000-08-16,0.9997343033762751,0.9999950386017513
2000-08-17,0.9997343033762751,0.9999950386017513
2000-08-18,0.9997343033762751,0.9999950386017513
2000-08-21,0.9997343033762751,0.9999950386017513
2000-08-22,0.9997343033762751,0.9999950386017513
2000-08-23,0.9997343033762751,0.9999950386017513
2000-08-24,0.9997343033762751,0.9999950386017513
2000-08-25,0.9997343033762751,0.9999950386017513
2000-08-28,0.9997343033762751,0.9999950386017513
2000-08-29,0.9997343033762751,0.9999950386017513
2000-08-30,0.9997343033762751,0.9999950386017513
2000-08-31,1.0390835131060652,1.1413594018208222
2000-09-01,0.9997540384756183,0.9999961914848338
2000-09-04,0.9997540384756183,0.9999961914848338
2000-09-05,0.9997540384756183,0.9999961914848338
2000-09-06,0.9997540384756183,0.9999961914848338
2000-09-07,0.9997540384756183,0.9999961914848338
2000-09-08,0.9997540384756183,0.9999961914848338
2000-09-11,0.9997540384756183,0.9999961914848338
2000-09-12,0.9997540384756183,0.9999961914848338
2000-09-13,0.9997540384756183,0.9999961914848338
2000-09-14,0.9997540384756183,0.9999961914848338
2000-09-15,0.9997540384756183,0.9999961914848338
2000-09-18,0.9997540384756183,0.9999961914848338
2000-09-19,0.9997540384756183,0.9999961914848338
2000-09-20,0.9997540384756183,0.9999961914848338
2000-09-21,0.9997540384756183,0.9999961914848338
2000-09-22,0.9997540384756183,0.9999961914848338
2000-09-25,0.9997540384756183,0.9999961914848338
2000-09-26,0.9997540384756183,0.9999961914848338
2000-09-27,0.9997540384756183,0.9999961914848338
2000-09-28,0.9997540384756183,0.9999961914848338
2000-09-29,0.9997540384756183,0.9999961914848338
2000-10-02,0.9954678725407353,0.9894008693264931
2000-10-03,0.9997519166424371,0.9999961094791002
2000-10-04,0.9997519166424371,0.9999961094791002
2000-10-05,0.9997519166424371,0.9999961094791002
2000-10-06,0.9997519166424371,0.9999961094791002
2000-10-09,0.9997519166424371,0.9999961094791002
2000-10-10,0.9997519166424371,0.9999961094791002
2000-10-11,0.9997519166424371,0.9999961094791002
2000-10-12,0.9997519166424371,0.9999961094791002
2000-10-13,0.9997519166424371,0.9999961094791002
2000-10-16,0.9997519166424371,0.9999961094791002
2000-10-17,0.9997519166424371,0.9999961094791002
2000-10-18,0.9997519166424371,0.9999961094791002
2000-10-19,0.9997519166424371,0.9999961094791002
2000-10-20,0.9997519166424371,0.9999961094791002
2000-10-23,0.9997519166424371,0.9999961094791002
2000-10-24,0.9997519166424371,0.9999961094791002
2000-10-25,0.9997519166424371,0.9999961094791002
2000-10-26,0.9997519166424371,0.9999961094791002
2000-10-27,0.9997519166424371,0.9999961094791002
2000-10-30,0.9997519166424371,0.9999961094791002
2000-10-31,1.0011229862355913,1.0284211916835195
2000-11-01,0.9997525954411574,0.9999963215701576
2000-11-02,0.9997525954411574,0.9999963215701576
2000-11-03,0.9997525954411574,0.9999963215701576
2000-11-06,0.9997525954411574,0.9999963215701576
2000-11-07,0.9997525954411574,0.9999963215701576
2000-11-08,0.9997525954411574,0.9999963215701576
2000-11-09,0.9997525954411574,0.9999963215701576
2000-11-10,0.9997525954411574,0.9999963215701576
2000-11-13,0.9997525954411574,0.9999963215701576
2000-11-14,0.9997525954411574,0.9999963215701576
2000-11-15,0.9997525954411574,0.9999963215701576
2000-11-16,0.9997525954411574,0.9999963215701576
2000-11-17,0.9997525954411574,0.9999963215701576
2000-11-20,0.9997525954411574,0.9999963215701576
2000-11-21,0.9997525954411574,0.9999963215701576
2000-11-22,0.9997525954411574,0.9999963215701576
2000-11-23,0.9997525954411574,0.9999963215701576
2000-11-24,0.9997525954411574,0.9999963215701576
2000-11-27,0.9997525954411574,0.9999963215701576
2000-11-28,0.9997525954411574,0.9999963215701576
2000-11-29,0.9997525954411574,0.9999963215701576
2000-11-30,0.9913150910947899,0.9729497595142629
2000-12-01,0.9997483675835181,0.9999961142190302
2000-12-04,0.9997483675835181,0.9999961142190302
2000-12-05,0.9997483675835181,0.9999961142190302
2000-12-06,0.9997483675835181,0.9999961142190302
2000-12-07,0.9997483675835181,0.9999961142190302
2000-12-08,0.9997483675835181,0.9999961142190302
2000-12-11,0.9997483675835181,0.9999961142190302
2000-12-12,0.9997483675835181,0.9999961142190302
2000-12-13,0.9997483675835181,0.9999961142190302
2000-12-14,0.9997483675835181,0.9999961142190302
2000-12-15,0.9997483675835181,0.9999961142190302
2000-12-18,0.9997483675835181,0.9999961142190302
2000-12-19,0.9997483675835181,0.9999961142190302
2000-12-20,0.9997483675835181,0.9999961142190302
2000-12-21,0.9997483675835181,0.9999961142190302
2000-12-22,0.9997483675835181,0.9999961142190302
2000-12-25,0.9997483675835181,0.9999961142190302
2000-12-26,0.9997483675835181,0.9999961142190302
2000-12-27,0.9997483675835181,0.9999961142190302
2000-12-28,0.9997483675835181,0.9999961142190302
2000-12-29,0.9997483675835181,0.9999961142190302
2001-01-01,0.9876512585156066,0.9622077838388592
2001-01-02,0.9997421680621013,0.9999958030189582
2001-01-03,0.9997421680621013,0.9999958030189582
2001-01-04,0.9997421680621013,0.9999958030189582
2001-01-05,0.9997421680621013,0.9999958030189582
2001-01-08,0.9997421680621013,0.9999958030189582
2001-01-09,0.9997421680621013,0.9999958030189582
2001-01-10,0.9997421680621013,0.9999958030189582
2001-01-11,0.9997421680621013,0.9999958030189582
2001-01-12,0.9997421680621013,0.9999958030189582
2001-01-15,0.9997421680621013,0.9999958030189582
2001-01-16,0.9997421680621013,0.9999958030189582
2001-01-17,0.9997421680621013,0.9999958030189582
2001-01-18,0.9997421680621013,0.9999958030189582
2001-01-19,0.9997421680621013,0.9999958030189582
2001-01-22,0.9997421680621013,0.9999958030189582
2001-01-23,0.9997421680621013,0.9999958030189582
2001-01-24,0.9997421680621013,0.9999958030189582
2001-01-25,0.9997421680621013,0.9999958030189582
2001-01-26,0.9997421680621013,0.9999958030189582
2001-01-29,0.9997421680621013,0.9999958030189582
2001-01-30,0.9997421680621013,0.9999958030189582
2001-01-31,1.0430563377706559,1.162740183041827
2001-02-01,0.9997631295633673,0.9999968956640745
2001-02-02,0.9997631295633673,0.9999968956640745
2001-02-05,0.9997631295633673,0.9999968956640745
2001-02-06,0.9997631295633673,0.9999968956640745
2001-02-07,0.9997631295633673,0.9999968956640745
2001-02-08,0.9997631295633673,0.9999968956640745
2001-02-09,0.9997631295633673,0.9999968956640745
2001-02-12,0.9997631295633673,0.9999968956640745
2001-02-13,0.9997631295633673,0.9999968956640745
2001-02-14,0.9997631295633673,0.9999968956640745
2001-02-15,0.9997631295633673,0.9999968956640745
2001-02-16,0.9997631295633673,0.9999968956640745
2001-02-19,0.9997631295633673,0.9999968956640745
2001-02-20,0.9997631295633673,0.9999968956640745
2001-02-21,0.9997631295633673,0.9999968956640745
2001-02-22,0.9997631295633673,0.9999968956640745
2001-02-23,0.9997631295633673,0.9999968956640745
2001-02-26,0.9997631295633673,0.9999968956640745
2001-02-27,0.9997631295633673,0.9999968956640745
2001-02-28,1.0080190734922858,1.0248433972370719
2001-03-01,0.9997669923870962,0.9999970443629871
2001-03-02,0.9997669923870962,0.9999970443629871
2001-03-05,0.9997669923870962,0.9999970443629871
2001-03-06,0.9997669923870962,0.9999970443629871
2001-03-07,0.9997669923870962,0.9999970443629871
2001-03-08,0.9997669923870962,0.9999970443629871
2001-03-09,0.9997669923870962,0.9999970443629871
2001-03-12,0.9997669923870962,0.9999970443629871
2001-03-13,0.9997669923870962,0.9999970443629871
2001-03-14,0.9997669923870962,0.9999970443629871
2001-03-15,0.9997669923870962,0.9999970443629871
2001-03-16,0.9997669923870962,0.9999970443629871
2001-03-19,0.9997669923870962,0.9999970443629871
2001-03-20,0.9997669923870962,0.9999970443629871
2001-03-21,0.9997669923870962,0.9999970443629871
2001-03-22,0.9997669923870962,0.9999970443629871
2001-03-23,0.9997669923870962,0.9999970443629871
2001-03-26,0.9997669923870962,0.9999970443629871
2001-03-27,0.9997669923870962,0.9999970443629871
2001-03-28,0.9997669923870962,0.9999970443629871
2001-03-29,0.9997669923870962,0.9999970443629871
2001-03-30,0.9997669923870962,0.9999970443629871
2001-04-02,0.9924985477220025,0.9822724131827272
2001-04-03,0.9997635682982446,0.9999969367350285
2001-04-04,0.9997635682982446,0.9999969367350285
2001-04-05,0.9997635682982446,0.9999969367350285
2001-04-06,0.9997635682982446,0.9999969367350285
2001-04-09,0.9997635682982446,0.9999969367350285
2001-04-10,0.9997635682982446,0.9999969367350285
2001-04-11,0.9997635682982446,0.9999969367350285
2001-04-12,0.9997635682982446,0.9999969367350285
2001-04-13,0.9997635682982446,0.9999969367350285
2001-04-16,0.9997635682982446,0.9999969367350285
2001-04-17,0.9997635682982446,0.9999969367350285
2001-04-18,0.9997635682982446,0.9999969367350285
2001-04-19,0.9997635682982446,0.9999969367350285
2001-04-20,0.9997635682982446,0.9999969367350285
2001-04-23,0.9997635682982446,0.9999969367350285
2001-04-24,0.9997635682982446,0.9999969367350285
2001-04-25,0.9997635682982446,0.9999969367350285
2001-04-26,0.9997635682982446,0.9999969367350285
2001-04-27,0.9997635682982446,0.9999969367350285
2001-04-30,0.9994051125573244,0.9739437212089938
2001-05-01,0.9997633987265319,0.9999967706577723
2001-05-02,0.9997633987265319,0.9999967706577723
2001-05-03,0.9997633987265319,0.9999967706577723
2001-05-04,0.9997633987265319,0.9999967706577723
2001-05-07,0.9997633987265319,0.9999967706577723
2001-05-08,0.9997633987265319,0.9999967706577723
2001-05-09,0.9997633987265319,0.9999967706577723
2001-05-10,0.9997633987265319,0.9999967706577723
2001-05-11,0.9997633987265319,0.9999967706577723
2001-05-14,0.9997633987265319,0.9999967706577723
2001-05-15,0.9997633987265319,0.9999967706577723
2001-05-16,0.9997633987265319,0.9999967706577723
2001-05-17,0.9997633987265319,0.9999967706577723
2001-05-18,0.9997633987265319,0.9999967706577723
2001-05-21,0.9997633987265319,0.9999967706577723
2001-05-22,0.9997633987265319,0.9999967706577723
2001-05-23,0.9997633987265319,0.9999967706577723
2001-05-24,0.9997633987265319,0.9999967706577723
2001-05-25,0.9997633987265319,0.9999967706577723
2001-05-28,0.9997633987265319,0.9999967706577723
2001-05-29,0.9997633987265319,0.9999967706577723
2001-05-30,0.9997633987265319,0.9999967706577723
2001-05-31,1.0025138161963192,1.0084466541766157
2001-06-01,0.9997646947291089,0.9999968245488005
2001-06-04,0.9997646947291089,0.9999968245488005
2001-06-05,0.9997646947291089,0.9999968245488005
2001-06-06,0.9997646947291089,0.9999968245488005
2001-06-07,0.9997646947291089,0.9999968245488005
2001-06-08,0.9997646947291089,0.9999968245488005
2001-06-11,0.9997646947291089,0.9999968245488005
2001-06-12,0.9997646947291089,0.9999968245488005
2001-06-13,0.9997646947291089,0.9999968245488005
2001-06-14,0.9997646947291089,0.9999968245488005
2001-06-15,0.9997646947291089,0.9999968245488005
2001-06-18,0.9997646947291089,0.9999968245488005
2001-06-19,0.9997646947291089,0.9999968245488005
2001-06-20,0.9997646947291089,0.9999968245488005
2001-06-21,0.9997646947291089,0.9999968245488005
2001-06-22,0.9997646947291089,0.9999968245488005
2001-06-25,0.9997646947291089,0.9999968245488005
2001-06-26,0.9997646947291089,0.9999968245488005
2001-06-27,0.9997646947291089,0.9999968245488005
2001-06-28,0.9997646947291089,0.9999968245488005
2001-06-29,0.9997646947291089,0.9999968245488005
2001-07-02,0.978304834823831,0.942305296856276
2001-07-03,0.9997542621522989,0.9999964238217384
2001-07-04,0.9997542621522989,0.9999964238217384
2001-07-05,0.9997542621522989,0.9999964238217384
2001-07-06,0.9997542621522989,0.9999964238217384
2001-07-09,0.9997542621522989,0.9999964238217384
2001-07-10,0.9997542621522989,0.9999964238217384
2001-07-11,0.9997542621522989,0.9999964238217384
2001-07-12,0.9997542621522989,0.9999964238217384
2001-07-13,0.9997542621522989,0.9999964238217384
2001-07-16,0.9997542621522989,0.9999964238217384
2001-07-17,0.9997542621522989,0.9999964238217384
2001-07-18,0.9997542621522989,0.9999964238217384
2001-07-19,0.9997542621522989,0.9999964238217384
2001-07-20,0.9997542621522989,0.9999964238217384
2001-07-23,0.9997542621522989,0.9999964238217384
2001-07-24,0.9997542621522989,0.9999964238217384
2001-07-25,0.9997542621522989,0.9999964238217384
2001-07-26,0.9997542621522989,0.9999964238217384
2001-07-27,0.9997542621522989,0.9999964238217384
2001-07-30,0.9997542621522989,0.9999964238217384
2001-07-31,0.9677470415880591,0.9715911769653871
2001-08-01,0.9997377447984094,0.9999962116613936
2001-08-02,0.9997377447984094,0.9999962116613936
2001-08-03,0.9997377447984094,0.9999962116613936
2001-08-06,0.9997377447984094,0.9999962116613936
2001-08-07,0.9997377447984094,0.9999962116613936
2001-08-08,0.9997377447984094,0.9999962116613936
2001-08-09,0.9997377447984094,0.9999962116613936
2001-08-10,0.9997377447984094,0.9999962116613936
2001-08-13,0.9997377447984094,0.9999962116613936
2001-08-14,0.9997377447984094,0.9999962116613936
2001-08-15,0.9997377447984094,0.9999962116613936
2001-08-16,0.9997377447984094,0.9999962116613936
2001-08-17,0.9997377447984094,0.9999962116613936
2001-08-20,0.9997377447984094,0.9999962116613936
2001-08-21,0.9997377447984094,0.9999962116613936
2001-08-22,0.9997377447984094,0.9999962116613936
2001-08-23,0.9997377447984094,0.9999962116613936
2001-08-24,0.9997377447984094,0.9999962116613936
2001-08-27,0.9997377447984094,0.9999962116613936
2001-08-28,0.9997377447984094,0.9999962116613936
2001-08-29,0.9997377447984094,0.9999962116613936
2001-08-30,0.9997377447984094,0.9999962116613936
2001-08-31,1.0315901354751789,1.100643255082087
2001-09-03,0.9997536841751737,0.9999968728207407
2001-09-04,0.9997536841751737,0.9999968728207407
2001-09-05,0.9997536841751737,0.9999968728207407
2001-09-06,0.9997536841751737,0.9999968728207407
2001-09-07,0.9997536841751737,0.9999968728207407
2001-09-10,0.9997536841751737,0.9999968728207407
2001-09-11,0.9997536841751737,0.9999968728207407
2001-09-12,0.9997536841751737,0.9999968728207407
2001-09-13,0.9997536841751737,0.9999968728207407
2001-09-14,0.9997536841751737,0.9999968728207407
2001-09-17,0.9997536841751737,0.9999968728207407
2001-09-18,0.9997536841751737,0.9999968728207407
2001-09-19,0.9997536841751737,0.9999968728207407
2001-09-20,0.9997536841751737,0.9999968728207407
2001-09-21,0.9997536841751737,0.9999968728207407
2001-09-24,0.9997536841751737,0.9999968728207407
2001-09-25,0.9997536841751737,0.9999968728207407
2001-09-26,0.9997536841751737,0.9999968728207407
2001-09-27,0.9997536841751737,0.9999968728207407
2001-09-28,0.9997536841751737,0.9999968728207407
2001-10-01,0.9725975066199092,0.911763892657627
2001-10-02,0.9997397426805482,0.9999962382938375
2001-10-03,0.9997397426805482,0.9999962382938375
2001-10-04,0.9997397426805482,0.9999962382938375
2001-10-05,0.9997397426805482,0.9999962382938375
2001-10-08,0.9997397426805482,0.9999962382938375
2001-10-09,0.9997397426805482,0.9999962382938375
2001-10-10,0.9997397426805482,0.9999962382938375
2001-10-11,0.9997397426805482,0.9999962382938375
2001-10-12,0.9997397426805482,0.9999962382938375
2001-10-15,0.9997397426805482,0.9999962382938375
2001-10-16,0.9997397426805482,0.9999962382938375
2001-10-17,0.9997397426805482,0.9999962382938375
2001-10-18,0.9997397426805482,0.9999962382938375
2001-10-19,0.9997397426805482,0.9999962382938375
2001-10-22,0.9997397426805482,0.9999962382938375
2001-10-23,0.9997397426805482,0.9999962382938375
2001-10-24,0.9997397426805482,0.9999962382938375
2001-10-25,0.9997397426805482,0.9999962382938375
2001-10-26,0.9997397426805482,0.9999962382938375
2001-10-29,0.9997397426805482,0.9999962382938375
2001-10-30,0.9997397426805482,0.9999962382938375
2001-10-31,0.9834762330339706,0.9034781885594233
2001-11-01,0.9997310673848989,0.99999539164736
2001-11-02,0.9997310673848989,0.99999539164736
2001-11-05,0.9997310673848989,0.99999539164736
2001-11-06,0.9997310673848989,0.99999539164736
2001-11-07,0.9997310673848989,0.99999539164736
2001-11-08,0.9997310673848989,0.99999539164736
2001-11-09,0.9997310673848989,0.99999539164736
